cell_specimen_id,ori_peak_sig,freq_peak_sig
662245436,1.7583424585845382,1.519730360247543
662244044,1.6924344221881717,1.4610274735832265
662243305,1.5308372661949758,1.4156925421998787
662243271,1.4628620771825716,1.359348660088613
662244866,1.2891338296518065,1.260437601045401
662245499,1.288069555841239,1.0738870973436119
662245541,1.2481653059554223,1.31550754158074
662243041,1.2475018962459652,1.1305765214295664
662245762,1.2390550992231495,1.3148812621826984
662243559,1.2358818613477716,1.3034130466755807
662245056,1.2249530380594151,1.2761413615523394
662243441,1.2175086341193442,1.0742983254255176
662243641,1.2063924611069567,1.2425432751518886
662243179,1.1997637015928369,1.1534468652956638
662243316,1.1939699986704135,1.1724132357728285
662243593,1.1909291933549573,1.1594595708363962
